Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
0,black panther,2018,death father tchalla return home african nation wakanda take rightful place king powerful enemy suddenly reappears tchallas mettle king black panther get tested he drawn conflict put fate wakanda entire world risk faced treachery danger young king must rally ally release full power black panther defeat foe secure safety people,96,79.0,black panther elevates superhero cinema thrilling new height telling one mcus absorbing story introducing fully realized character,519,50000,action adventure,pg13 sequence action violencea brief rude gesture,adventure action fantasy,english,ryan coogler,kevin feige,ryan coogler joe robert cole,feb 16 2018 wide,may 2 2018,7002m,2h 14m,walt disney picture,dts dolby atmos,scope 2351,marvel cinematic universe,chadwick boseman michael b jordan lupita nyongo danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker ryan coogler ryan coogler joe robert cole kevin feige louis desposito victoria alonso nate moore jeffrey chernov stan lee rachel morrison
1,avenger endgame,2019,adrift space food water tony stark sends message pepper potts oxygen supply start dwindle meanwhile remaining avenger thor black widow captain america bruce banner must figure way bring back vanquished ally epic showdown thanos evil demigod decimated planet universe,94,90.0,exciting entertaining emotionally impactful avenger endgame whatever take deliver satisfying finale marvel epic infinity saga,538,50000,action adventure,pg13 sequence scifi violenceactionsome language,sci fi adventure action fantasy,english,anthony russo joe russo,kevin feige,christopher markus stephen mcfeely,apr 26 2019 wide,jul 30 2019,8584m,3h 1m,marvel studio walt disney picture,dolby atmos dts dolby digital sdds,scope 2351,marvel cinematic universe,robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson jeremy renner brie larson paul rudd cheadle karen gillan anthony russo joe russo christopher markus stephen mcfeely kevin feige louis desposito victoria alonso michael grillo trinh tran jon favreau
2,mission impossible fallout,2018,ethan hunt imf team join force cia assassin august walker prevent disaster epic proportion arm dealer john lark group terrorist known apostle plan use three plutonium core simultaneous nuclear attack vatican jerusalem mecca saudi arabia weapon go missing ethan crew find desperate race time prevent falling wrong hand,97,88.0,fast sleek fun mission impossible fallout life impossible part name setting yet another high mark insane set piece franchise full,433,10000,action adventure,pg13 intense sequence actionbrief strong languageviolence,action mystery thriller adventure,english,christopher mcquarrie,tom cruise christopher mcquarrie jake myers jj abrams,christopher mcquarrie,jul 27 2018 wide,nov 20 2018,2201m,2h 27m,bad robot tom cruise,dts dolby atmos dolby digital,scope 2351,unknown,tom cruise henry cavill ving rhames simon pegg rebecca ferguson sean harris angela bassett michelle monaghan alec baldwin vanessa kirby christopher mcquarrie christopher mcquarrie tom cruise christopher mcquarrie jake myers jj abrams david ellison dana goldberg granger rob hardy
3,mad max fury road,2015,year collapse civilization tyrannical immortan joe enslaves apocalypse survivor inside desert fortress citadel warrior imperator furiosa charlize theron lead despot five wife daring escape forge alliance max rockatansky tom hardy loner former captive fortified massive armored truck war rig try outrun ruthless warlord henchman deadly highspeed chase wasteland,97,86.0,exhilarating action surprising amount narrative heft mad max fury road brings george miller postapocalyptic franchise roaring vigorously back life,427,100000,action adventure,r intense sequence violencedisturbing image,adventure action,english,george miller,doug mitchell george miller pj voeten,george miller brendan mccarthy nick lathouris,may 15 2015 wide,aug 10 2016,1536m,2h,kennedy miller mitchell village roadshow picture warner bros picture,dolby atmos,scope 2351,unknown,tom hardy charlize theron nicholas hoult hugh keaysbyrne josh helman nathan jones rosie huntingtonwhiteley riley keough abbey lee george miller george miller nick lathouris doug mitchell george miller pj voeten iain smith chris defaria
4,spiderman spiderverse,2018,bitten radioactive spider subway brooklyn teenager mile morale suddenly develops mysterious power transform one spiderman meet peter parker soon realizes many others share special highflying talent mile must use newfound skill battle evil kingpin hulking madman open portal universe pull different version spiderman world,97,93.0,spiderman spiderverse match bold storytelling striking animation purely enjoyable adventure heart humor plenty superhero action,387,10000,action adventure,pg mild languagefrenetic action violencethematic element,action adventure fantasy comedy kid family animation,english,bob persichetti peter ramsey rodney rothman,avi arad amy pascal phil lord christopher miller christina steinberg,phil lord rodney rothman,dec 14 2018 wide,mar 7 2019,1902m,1h 57m,lord miller sony picture animation pascal picture avi arad,dolby atmos dts dolby digital sdds,scope 2351,unknown,shameik moore hailee steinfeld mahershala ali brian tyree henry lily tomlin luna lauren velez john mulaney kimiko glenn bob persichetti peter ramsey rodney rothman phil lord rodney rothman avi arad amy pascal phil lord christopher miller christina steinberg
5,wonder woman,2017,wonder woman gal gadot diana princess amazon trained unconquerable warrior raised sheltered island paradise diana meet american pilot chris pine tell massive conflict thats raging outside world convinced stop threat diana leaf home first time fighting alongside men war end war finally discovers full power true destiny,93,83.0,thrilling earnest buoyed gal gadots charismatic performance wonder woman succeeds spectacular fashion,463,100000,action adventure,pg13 sequence violenceactionsome suggestive content,adventure fantasy action,english,patty jenkins,charles roven deborah snyder zack snyder richard suckle,allan heinberg,jun 2 2017 wide,jul 10 2017,4128m,2h 21m,atlas entertainment cruel unusual,sdds dolby atmos dts,scope 2351,dc extended universe,gal gadot chris pine connie nielsen robin wright danny huston david thewlis ewen bremner lucy davis patty jenkins allan heinberg charles roven deborah snyder zack snyder richard suckle geoff john jon berg wesley coller rebecca steel roven
6,dunkirk,2017,may 1940 germany advanced france trapping allied troop beach dunkirk air ground cover british french force troop slowly methodically evacuated beach using every serviceable naval civilian vessel could found end heroic mission 330000 french british belgian dutch soldier safely evacuated,92,81.0,dunkirk serf emotionally satisfying spectacle delivered writerdirector full command craft brought life gifted ensemble cast honor factbased story,458,50000,action adventure,pg13 languageintense war experience,drama history war,english,christopher nolan,emma thomas christopher nolan,christopher nolan,jul 21 2017 wide,dec 12 2017,1880m,1h 47m,warner bros picture imax corporation,dolby digital datasat dolby atmos,scope 2351,unknown,fionn whitehead tom glynncarney jack lowden harry style aneurin barnard james darcy barry keoghan kenneth branagh cillian murphy mark rylance christopher nolan christopher nolan emma thomas christopher nolan jake myers nathan crowley kevin ishioka
7,coco,2017,despite family generationsold ban music young miguel dream becoming accomplished musician like idol ernesto de la cruz desperate prove talent miguel find stunning colorful land dead meeting charming trickster named héctor two new friend embark extraordinary journey unlock real story behind miguels family history,97,94.0,coco rich visual pleasure matched thoughtful narrative take familyfriendly deeply affecting approach question culture family life death,347,25000,action adventure,pg thematic element,comedy music animation kid family adventure,english,lee unkrich,darla k anderson,adrian molina matthew aldrich,nov 22 2017 wide,feb 13 2018,2105m,1h 49m,pixar animation studio,dolby atmos,scope 2351,pixar,anthony gonzalez benjamin bratt alanna ubach jaime camil alfonso arau selene luna ana ofelia murguía lee unkrich adrian molina adrian molina matthew aldrich darla k anderson john lasseter lee unkrich michael giacchino
8,thor ragnarok,2017,imprisoned side universe mighty thor find deadly gladiatorial contest pit hulk former ally fellow avenger thor quest survival lead race time prevent allpowerful hela destroying home world asgardian civilization,93,87.0,exciting funny fun thor ragnarok colorful cosmic adventure set new standard franchise rest marvel cinematic universe,430,50000,action adventure,pg13 brief suggestive materialactionintense scifi violence,comedy fantasy sci fi action adventure,english,taika waititi,kevin feige,eric pearson craig kyle christopher l yost,nov 3 2017 wide,feb 17 2018,3150m,2h 10m,marvel studio,dolby atmos,scope 2351,marvel cinematic universe,chris hemsworth tom hiddleston cate blanchett idris elba jeff goldblum tessa thompson mark ruffalo karl urban anthony hopkins benedict cumberbatch taika waititi eric pearson craig kyle christopher l yost kevin feige thomas hammel stan lee victoria alonso louis desposito
9,logan,2017,near future weary logan hugh jackman care ailing professor x patrick stewart remote outpost mexican border plan hide outside world get upended meet young mutant dafne keen much like logan must protect girl battle dark force want capture,93,90.0,hugh jackman make final outing wolverine gritty nuanced performance violent surprisingly thoughtful superhero action film defies genre convention,418,50000,action adventure,r language throughoutbrief nuditystrong brutal violence,adventure action fantasy,english,james mangold,hutch parker simon kinberg lauren shuler donner,james mangold michael green scott frank,mar 3 2017 wide,may 16 2017,2263m,2h 17m,marvel entertainment 20th century fox hutch parker entertainment donners company,dolby atmos,scope 2351,xmen,hugh jackman patrick stewart dafne keen richard e grant doris morgado boyd holbrook stephen merchant eriq la salle elise neal elizabeth rodriguez james mangold james mangold michael green scott frank hutch parker simon kinberg lauren shuler donner joseph caracciolo jr stan lee josh mclaglen
